date,event name,501 3DA,max min,url
2024,PDC Women's Series,64.3,98.1 38.3,https://leaderboard.dartconnect.com/leaderboard#t-t_594-singles_01_501_si_do-all-all-all-all-all
2024,Robbie Long Series 2024,63.3,103.2 30.6,https://leaderboard.dartconnect.com/leaderboard#t-t_751-singles_01_501_si_do-all-all-all-all-all
2024,Scottish Darts Association Youth GrandPrix,54.6,89.5 26.7,https://leaderboard.dartconnect.com/leaderboard#t-t_699-singles_01_501_si_do-all-all-all-all-all
2024,SDA Scottish Men's & Ladies Tour,64.0,91.9 33.3,https://leaderboard.dartconnect.com/leaderboard#t-t_576-singles_01_501_si_do-all-all-all-all-all
2024,SDC Tour 2024,54.9,93.7 14.0,https://leaderboard.dartconnect.com/leaderboard#t-t_745-singles_01_501_si_do-all-all-all-all-all
2024,Vilniaus Legionas 2024,"",https://leaderboard.dartconnect.com/leaderboard#t-t_654-singles_01_501_si_do-all-all-all-all-all
2024,WS Championship Qualifiers 2024,76.0,101.4 46.9,https://leaderboard.dartconnect.com/leaderboard#t-t_712-singles_01_501_si_do-all-all-all-all-all
2024,WS Target Open Series,78.3,106.0 52.0,https://leaderboard.dartconnect.com/leaderboard#t-t_709-singles_01_501_si_do-all-all-all-all-all
2024,2024 Tour Leaderboard,57.4,81.0 39.2,https://leaderboard.dartconnect.com/leaderboard#t-t_784-singles_01_501_si_do-all-all-all-all-all
2024,All Island Dart Tour,47.9,78.0 23.3,https://leaderboard.dartconnect.com/leaderboard#t-t_690-singles_01_501_si_do-all-all-all-all-all
2024,CDC Events Tour,79.1,102.5 59.9,https://leaderboard.dartconnect.com/leaderboard#t-t_817-singles_01_501_si_do-all-all-all-all-all
2024,CDC Qualifying School 2024,64.0,84.8 40.0,https://leaderboard.dartconnect.com/leaderboard#t-t_618-singles_01_501_si_do-all-all-all-all-all
2024,CDC Summer Series,69.1,85.0 53.4,https://leaderboard.dartconnect.com/leaderboard#t-t_820-singles_01_501_si_do-all-all-all-all-all
2024,Dart Madness Tour,48.3,84.3 20.4,https://leaderboard.dartconnect.com/leaderboard#t-t_769-singles_01_501_si_do-all-all-all-all-all
2024,Dart Player Northern California,62.4,78.4 42.1,https://leaderboard.dartconnect.com/leaderboard#t-t_754-singles_01_501_si_do-all-all-all-all-all
2024,Dart Players Chicago,63.4,79.9 43.3,https://leaderboard.dartconnect.com/leaderboard#t-t_790-singles_01_501_si_do-all-all-all-all-all
2024,Dart Players Colorado,56.9,84.8 27.1,https://leaderboard.dartconnect.com/leaderboard#t-t_642-singles_01_501_si_do-all-all-all-all-all
2024,Dart Players Connecticut,54.4,70.3 33.8,https://leaderboard.dartconnect.com/leaderboard#t-t_772-singles_01_501_si_do-all-all-all-all-all
2024,Dart Players Georgia,56.8,74.4 37.1,https://leaderboard.dartconnect.com/leaderboard#t-t_808-singles_01_501_si_do-all-all-all-all-all
2024,Dart Players Indiana,51.7,82.4 21.7,https://leaderboard.dartconnect.com/leaderboard#t-t_763-singles_01_501_si_do-all-all-all-all-all
2024,Dart Players Los Angeles,58.6,84.0 43.2,https://leaderboard.dartconnect.com/leaderboard#t-t_742-singles_01_501_si_do-all-all-all-all-all
2024,Dart Players Nashville,62.6,73.5 45.9,https://leaderboard.dartconnect.com/leaderboard#t-t_781-singles_01_501_si_do-all-all-all-all-all
